,chr,start,end,state,median,multiplier,cell_id,sample_id,library_id
0,1,1,249500000,2,2.04066496112317,2,SA928-A73044A-R07-C03,SA928,A73044A
1,10,1,136000000,2,1.9904592902133,2,SA928-A73044A-R07-C03,SA928,A73044A
2,11,1,135500000,2,2.0711555249584497,2,SA928-A73044A-R07-C03,SA928,A73044A
3,12,1,134000000,2,2.01331767854974,2,SA928-A73044A-R07-C03,SA928,A73044A
4,13,1,115500000,2,2.0131514074012897,2,SA928-A73044A-R07-C03,SA928,A73044A
5,14,1,107500000,2,2.00799882842924,2,SA928-A73044A-R07-C03,SA928,A73044A
6,15,1,103000000,2,1.97921965904719,2,SA928-A73044A-R07-C03,SA928,A73044A
7,16,1,90500000,2,1.9209063264493502,2,SA928-A73044A-R07-C03,SA928,A73044A
8,17,1,81500000,2,1.91605326019465,2,SA928-A73044A-R07-C03,SA928,A73044A
9,18,1,78500000,2,2.03699482289599,2,SA928-A73044A-R07-C03,SA928,A73044A
10,19,1,59500000,2,1.8451635531383201,2,SA928-A73044A-R07-C03,SA928,A73044A
11,2,1,243500000,2,2.03471493449273,2,SA928-A73044A-R07-C03,SA928,A73044A
12,20,1,63500000,2,2.01966447557067,2,SA928-A73044A-R07-C03,SA928,A73044A
13,21,1,48500000,2,1.9603912856104198,2,SA928-A73044A-R07-C03,SA928,A73044A
14,22,1,51500000,2,1.95017861310991,2,SA928-A73044A-R07-C03,SA928,A73044A
15,3,1,198500000,2,2.05023851610585,2,SA928-A73044A-R07-C03,SA928,A73044A
16,4,1,191500000,2,2.01646128728131,2,SA928-A73044A-R07-C03,SA928,A73044A
17,5,1,181000000,2,2.0251525805558703,2,SA928-A73044A-R07-C03,SA928,A73044A
18,6,1,171500000,2,2.03439359361971,2,SA928-A73044A-R07-C03,SA928,A73044A
19,7,1,159500000,2,2.00312847437598,2,SA928-A73044A-R07-C03,SA928,A73044A
20,8,1,146500000,2,2.00848576751594,2,SA928-A73044A-R07-C03,SA928,A73044A
21,9,1,141500000,2,2.02504589961756,2,SA928-A73044A-R07-C03,SA928,A73044A
22,X,1,155500000,1,0.9924264238484499,2,SA928-A73044A-R07-C03,SA928,A73044A
23,Y,1,23500000,1,0.9239847048554909,2,SA928-A73044A-R07-C03,SA928,A73044A
24,Y,23500001,59500000,0,0.0326451762569052,2,SA928-A73044A-R07-C03,SA928,A73044A
25,1,1,249500000,2,2.01084290805779,1,SA928-A73044A-R07-C04,SA928,A73044A
26,10,1,136000000,2,2.05366089122989,1,SA928-A73044A-R07-C04,SA928,A73044A
27,11,1,135500000,2,2.009242101725,1,SA928-A73044A-R07-C04,SA928,A73044A
28,12,1,134000000,2,2.01186553277116,1,SA928-A73044A-R07-C04,SA928,A73044A
29,13,1,115500000,2,1.8382447786329699,1,SA928-A73044A-R07-C04,SA928,A73044A
30,14,1,107500000,2,2.00967932649556,1,SA928-A73044A-R07-C04,SA928,A73044A
